treatment_long,Treatment,Id,Group,Date,Time,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum
cold,cold,112,H,A,18:14:47,0.000173409,1.980216631,396.3183226,365.2939101,35.30227023,38.30049211,0.107311023,3.020457123,0.105237101,0.065956184,24.94015024,12.57565303,7.299476129,1.026600827,59.82812005,0.868918566,1.45235813,0.157682261,-7.647337731,842.8768633,50.49873506,910.6684109
cold,cold,110,H,A,18:22:25,0.000184115,2.124190342,396.0444667,363.3591313,35.13543596,38.29598268,0.109249637,3.021355893,0.10710154,0.067127943,24.94057778,12.57921704,7.453102667,1.037442252,60.07431468,0.872856334,1.452960951,0.164585918,-8.119493385,819.1333882,49.10299759,885.0574702
cold,cold,100,H,A,18:32:40,0.000208327,3.188854841,394.1275935,345.8372369,33.41540815,38.08130692,0.109578103,3.018401063,0.107397784,0.067315867,24.94020239,12.58533829,7.760627111,1.059454889,60.07570502,0.873575999,1.454127007,0.18587889,-9.187216583,770.2738858,46.29733219,832.3242038
shade,shade,30,C,A,15:36:07,8.00E-05,1.699398512,396.8881,277.3564833,26.67819957,38.17563524,0.023193009,3.009824503,0.023094177,0.014442705,8.833073644,13.72653802,10.47449333,1.272209491,59.95000728,0.942948828,1.572891933,0.329260663,-3.526895196,522.701498,32.16335387,560.1710303
shade,shade,34,C,A,15:42:55,4.65E-05,1.064137861,398.0763226,269.1129611,25.88428375,38.28845867,0.013423369,3.008950157,0.01339019,0.008371843,8.832979754,13.73240943,10.44932581,1.270075245,59.75152858,0.939662438,1.572616568,0.330412807,-2.052098935,526.1955422,32.38302836,565.3594513
shade,shade,35,C,A,15:49:02,0.000126758,1.302811375,397.5687097,337.4893568,32.46293105,38.2419337,0.036141635,3.009558972,0.035902236,0.022460274,8.833044687,13.71718122,10.56524839,1.27993192,60.02234127,0.944246667,1.573158673,0.335685253,-5.590041347,508.3533474,31.29854571,542.8948964
control,ambient,14,A,A,14:11:07,6.17E-05,1.724398011,396.8453548,244.6077667,23.55190922,38.21001229,0.018384539,3.012074824,0.018322426,0.011457079,77.24505704,14.13512487,10.3677071,1.263175529,59.8906973,0.942472592,1.573654398,0.320702937,-2.722523718,541.6432316,33.28666792,649.4524329
control,ambient,13,A,A,14:19:33,0.000157807,1.942172564,396.3949,329.2557302,31.70012711,38.16416106,0.048009832,3.010479033,0.047588506,0.029780362,77.24570147,14.10728174,10.31164333,1.258455274,59.92770073,0.942840528,1.573296683,0.315614746,-6.959270463,549.8880468,33.80070644,653.9751843
control,ambient,1,A,A,14:25:56,8.37E-05,2.194271881,395.9935484,248.183896,23.89373404,38.12400675,0.024135965,3.010732116,0.024028985,0.015027688,77.2456339,14.13542513,10.55592903,1.27913703,60.19294203,0.947582408,1.574241724,0.331554622,-3.692073357,511.7820905,31.49759201,616.833243
control,ambient,2,A,A,14:34:44,0.000106309,2.388490968,395.6294516,265.0737024,25.517514,38.08555877,0.029841998,3.012243274,0.029678722,0.018563797,77.24522187,14.11429415,10.59987419,1.282889123,59.90053766,0.942050243,1.572690796,0.34083888,-4.688233551,502.4408351,30.91181773,605.9096412
