date,treatment,ID,moisture
23.06.20,A,,10.4
23.06.20,A,,14.3
23.06.20,A,,10.2
23.06.20,A,,15.7
23.06.20,A,,16.2
23.06.20,B,,9.7
23.06.20,B,,9.6
23.06.20,B,,12.3
23.06.20,B,,8.9
23.06.20,B,,12.2
23.06.20,C,,5
23.06.20,C,,6.9
23.06.20,C,,4.9
23.06.20,C,,8.3
23.06.20,C,,7.8
23.06.20,D,,6
23.06.20,D,,7.9
23.06.20,D,,10.9
23.06.20,D,,4.6
23.06.20,D,,7.8
07.07.20,A,1,21.9
07.07.20,A,2,20.3
07.07.20,A,3,17.5
07.07.20,A,8,17.8
07.07.20,A,9,21.9
07.07.20,A,10,16.4
07.07.20,B,16,13.7
07.07.20,B,17,10.8
07.07.20,B,18,10.6
07.07.20,B,23,13.3
07.07.20,B,25,11.4
07.07.20,B,26,8.9
07.07.20,C,31,6.8
07.07.20,C,32,9.7
07.07.20,C,33,6.3
07.07.20,C,38,5.9
07.07.20,C,39,7.4
07.07.20,C,41,8.3
07.07.20,D,46,3.1
07.07.20,D,47,9.8
07.07.20,D,48,2.5
07.07.20,D,53,6.3
07.07.20,D,55,5.1
07.07.20,D,56,5.8
10.07.20,A,1,22.4
10.07.20,A,2,17.3
10.07.20,A,3,17.8
10.07.20,A,8,23
10.07.20,A,9,19.9
10.07.20,A,10,16.7
10.07.20,B,16,8.3
10.07.20,B,17,7.4
10.07.20,B,18,6.9
10.07.20,B,23,7.8
10.07.20,B,25,8.4
10.07.20,B,26,8.1
10.07.20,C,31,4.9
10.07.20,C,32,8.1
10.07.20,C,33,1.8
10.07.20,C,38,5.1
10.07.20,C,39,4.9
10.07.20,C,41,6.9
10.07.20,D,46,1.1
10.07.20,D,47,6.6
10.07.20,D,48,2.8
10.07.20,D,53,5.3
10.07.20,D,55,2.5
10.07.20,D,56,5.5
15.07.20,A,1,11.8
15.07.20,A,2,12.9
15.07.20,A,3,7.8
15.07.20,A,8,10.3
